index,Date,Open,High,Low,Close,Adj Close,Volume,Date_str,label,residuals,seasonal,trend
365,1952-06-18,24.43,24.43,24.43,24.43,24.43,1270000,1952-06-18,standard,1.0090388699292852,0.9993907067437999,3.1691150403893995
366,1952-06-19,24.51,24.51,24.51,24.51,24.51,1320000,1952-06-19,standard,1.0098624242421597,0.9995167461918137,3.16937023928732
367,1952-06-20,24.59,24.59,24.59,24.59,24.59,1190000,1952-06-20,standard,1.0102980663049754,1.0000241339462423,3.1696215996009376
368,1952-06-23,24.559999,24.559999,24.559999,24.559999,24.559999,1200000,1952-06-23,standard,1.009522845162498,1.0003340367447913,3.1698640041367536
369,1952-06-24,24.6,24.6,24.6,24.6,24.6,1200000,1952-06-24,standard,1.0093475670683438,1.0009421413515782,3.1700991290328915
370,1952-06-25,24.66,24.66,24.66,24.66,24.66,1230000,1952-06-25,standard,1.010253721194505,1.0007341218811274,3.1703236148066654
371,1952-06-26,24.75,24.75,24.75,24.75,24.75,1190000,1952-06-26,standard,1.0113796519734426,1.0006844952180585,3.1705508010463523
372,1952-06-27,24.83,24.83,24.83,24.83,24.83,1210000,1952-06-27,standard,1.0119521089704961,1.0010540014847946,3.170773228733996
373,1952-06-30,24.959999,24.959999,24.959999,24.959999,24.959999,1380000,1952-06-30,standard,1.012793397534402,1.0017813927962331,3.1709857835248756
374,1952-07-01,25.120001,25.120001,25.120001,25.120001,25.120001,1450000,1952-07-01,standard,1.0145593008638445,1.0019555248867125,3.1712022414344454
375,1952-07-02,25.059999,25.059999,25.059999,25.059999,25.059999,1320000,1952-07-02,standard,1.0134956516813605,1.0021961298397573,3.171413782371029
376,1952-07-03,25.049999,25.049999,25.049999,25.049999,25.049999,1150000,1952-07-03,standard,1.0131557707022676,1.0023435257576527,3.171618153785033
377,1952-07-07,24.969999,24.969999,24.969999,24.969999,24.969999,1080000,1952-07-07,standard,1.0116246167335001,1.00279836426783,3.1718247174254115
378,1952-07-08,24.959999,24.959999,24.959999,24.959999,24.959999,850000,1952-07-08,standard,1.0111691638102989,1.003059915339916,3.1720310135399
379,1952-07-09,24.860001,24.860001,24.860001,24.860001,24.860001,1120000,1952-07-09,standard,1.0097082769190056,1.0031925842863993,3.1722372124375675
380,1952-07-10,24.809999,24.809999,24.809999,24.809999,24.809999,1010000,1952-07-10,standard,1.0087360409186719,1.003463697102458,3.1724477310975825
381,1952-07-11,24.98,24.98,24.98,24.98,24.98,1040000,1952-07-11,standard,1.011697676829503,1.0025868840083123,3.1726594513801016
382,1952-07-14,25.030001,25.030001,25.030001,25.030001,25.030001,1090000,1952-07-14,standard,1.012718544531953,1.0021315504490256,3.1728716823039247
383,1952-07-15,25.16,25.16,25.16,25.16,25.16,1220000,1952-07-15,standard,1.0139051958320249,1.002502494334878,3.173082068503337
384,1952-07-16,25.16,25.16,25.16,25.16,25.16,1120000,1952-07-16,standard,1.0134979839192024,1.002843005479819,3.173279137007963
385,1952-07-17,25.049999,25.049999,25.049999,25.049999,25.049999,1010000,1952-07-17,standard,1.0118130595268542,1.0030892041037287,3.173466149283601
386,1952-07-18,24.85,24.85,24.85,24.85,24.85,1020000,1952-07-18,standard,1.0087305746240756,1.0035885978807897,3.1736614373556202
387,1952-07-21,24.950001,24.950001,24.950001,24.950001,24.950001,780000,1952-07-21,standard,1.009937397858382,1.003579260867839,3.1738609770081583
388,1952-07-22,25.0,25.0,25.0,25.0,25.0,910000,1952-07-22,standard,1.0108072056161148,1.0032799421819407,3.174050002779801
389,1952-07-23,25.110001,25.110001,25.110001,25.110001,25.110001,1020000,1952-07-23,standard,1.0123001247095,1.0031130429354964,3.1742198862743707
390,1952-07-24,25.24,25.24,25.24,25.24,25.24,1270000,1952-07-24,standard,1.013543945158798,1.0034372119035382,3.174377654051491
391,1952-07-25,25.16,25.16,25.16,25.16,25.16,1130000,1952-07-25,standard,1.0125635068465486,1.0033692245765111,3.174541931780231
392,1952-07-28,25.200001,25.200001,25.200001,25.200001,25.200001,1030000,1952-07-28,standard,1.013384731103058,1.0029953860693073,3.1747145557444125
393,1952-07-29,25.26,25.26,25.26,25.26,25.26,1010000,1952-07-29,standard,1.0141280466385267,1.002943848918191,3.174888702320558
394,1952-07-30,25.370001,25.370001,25.370001,25.370001,25.370001,1240000,1952-07-30,standard,1.0147365070601093,1.0036339714364177,3.1750698295150426
395,1952-07-31,25.4,25.4,25.4,25.4,25.4,1230000,1952-07-31,standard,1.0151043518367395,1.003577152578409,3.1752589979774277
396,1952-08-01,25.450001,25.450001,25.450001,25.450001,25.450001,1050000,1952-08-01,standard,1.0149278503276524,1.0042982077417277,3.1754604482397824
397,1952-08-04,25.43,25.43,25.43,25.43,25.43,950000,1952-08-04,standard,1.0148511654431902,1.0040638234408943,3.1756701540916294
398,1952-08-05,25.459999,25.459999,25.459999,25.459999,25.459999,1050000,1952-08-05,standard,1.0149462236073468,1.0042666465933225,3.1758881008082995
399,1952-08-06,25.440001,25.440001,25.440001,25.440001,25.440001,1140000,1952-08-06,standard,1.014390663941584,1.0044996241820774,3.176119307037212
400,1952-08-07,25.52,25.52,25.52,25.52,25.52,1180000,1952-08-07,standard,1.0145416355572743,1.0052504521557153,3.176353280651706
401,1952-08-08,25.549999,25.549999,25.549999,25.549999,25.549999,1170000,1952-08-08,standard,1.0155852513676726,1.0045069381200908,3.176589509903848
